Number,Path,Channel,Tail Offset Cnts,Amplitude 1 kCnts,Amplitude 2 kCnts,Amplitude 3 kCnts,Lifetime (τ) 1 ns,Lifetime (τ) 2 ns,Lifetime (τ) 3 ns,IRF Background Cnts,IRF Shift ns,Intensity 1 kCnts,Intensity 2 kCnts,Intensity 3 kCnts,Sum Amplitudes kCnts,Sum Intensity kCnts,"Mean τ, Intensity Weighted  ns","Mean τ, Amplitude Weighted ns",χ²
1,G2,HyD X 4,329.833,8.813,42.327,163.864,0.761,2.076,4.565,2446.085,0,69.134,906.003,7604.034,215.004,8579.171,4.272,3.919,1.048
2,G3,HyD X 4,262.193,8.566,35.727,137.928,0.761,2.076,4.565,146.346,0,67.198,764.727,6400.491,182.221,7232.415,4.267,3.898,1.048
3,G4,HyD X 4,227.567,12.274,39.041,121.925,0.761,2.076,4.565,1910.451,0,96.28,835.671,5657.884,173.24,6589.835,4.194,3.735,1.048
4,G5,HyD X 4,221.086,16.566,42.397,107.025,0.761,2.076,4.565,454.374,0,129.951,907.497,4966.457,165.988,6003.905,4.106,3.55,1.048
5,G6,HyD X 4,152.84,26.339,47.493,88.745,0.761,2.076,4.565,258.387,0,206.616,1016.578,4118.19,162.577,5341.383,3.944,3.222,1.048
6,G7,HyD X 4,120.531,40.269,59.315,69.998,0.761,2.076,4.565,1340.2,0,315.88,1269.639,3248.243,169.582,4833.762,3.663,2.791,1.048
7,G8,HyD X 4,72.953,49.583,66.889,54.501,0.761,2.076,4.565,0,0,388.942,1431.761,2529.106,170.973,4349.809,3.406,2.488,1.048
8,G9,HyD X 4,50.899,55.631,72.923,44.99,0.761,2.076,4.565,718.522,0,436.384,1560.901,2087.736,173.543,4085.022,3.208,2.3,1.048
9,G10,HyD X 4,51.847,67.466,87.901,45.714,0.761,2.076,4.565,1362.916,0,529.229,1881.517,2121.344,201.082,4532.09,3.087,2.2,1.048
10,G11,HyD X 4,0,82.519,111.146,44.066,0.761,2.076,4.565,2330.9,0,647.305,2379.062,2044.878,237.731,5071.246,2.912,2.081,1.048
11,F11,HyD X 4,8.796,76.304,97.513,32.394,0.761,2.076,4.565,1234.677,0,598.554,2087.261,1503.224,206.211,4189.039,2.781,1.98,1.048
