Number,Name,Channel,Region,Time,Tail Offset Cnts,Amplitude 1 kCnts,Amplitude 2 kCnts,Amplitude 3 kCnts,Lifetime (τ) 1 ns,Lifetime (τ) 2 ns,Lifetime (τ) 3 ns,IRF Background Cnts,IRF Shift ns,Intensity 1 kCnts,Intensity 2 kCnts,Intensity 3 kCnts,Sum Amplitudes kCnts,Sum Intensity kCnts,"Mean τ, Intensity Weighted  ns","Mean τ, Amplitude Weighted ns",χ²
1,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,0.000 s,23.170,2.701,9.100,28.034,0.761,2.076,4.565,0.000,0.000,21.197,194.813,1300.890,39.836,1516.900,4.192,3.738,1.012
11,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,2.731 s,18.467,2.798,9.055,28.255,0.761,2.076,4.565,3486.234,0.000,21.962,193.843,1311.132,40.108,1526.937,4.194,3.738,0.952
21,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,5.406 s,28.141,2.386,9.336,28.426,0.761,2.076,4.565,0.000,0.000,18.725,199.859,1319.058,40.148,1537.642,4.195,3.760,1.107
31,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,7.990 s,26.820,2.194,9.229,28.571,0.761,2.076,4.565,0.000,0.000,17.218,197.556,1325.786,39.993,1540.560,4.203,3.782,1.078
41,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,10.566 s,25.233,2.052,9.389,28.584,0.761,2.076,4.565,0.000,0.000,16.101,200.995,1326.411,40.025,1543.506,4.201,3.786,1.092
51,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,13.149 s,27.281,2.135,9.296,28.545,0.761,2.076,4.565,13804.045,0.000,16.757,198.989,1324.618,39.976,1540.363,4.202,3.783,1.176
61,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,15.731 s,23.919,2.241,9.402,28.517,0.761,2.076,4.565,0.000,0.000,17.587,201.272,1323.284,40.160,1542.143,4.197,3.770,1.025
71,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,18.314 s,30.164,2.033,9.324,28.443,0.761,2.076,4.565,136578.245,0.000,15.956,199.605,1319.875,39.801,1535.436,4.202,3.788,0.944
81,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,20.894 s,21.267,2.622,8.819,28.321,0.761,2.076,4.565,0.000,0.000,20.576,188.788,1314.207,39.762,1523.572,4.205,3.762,0.834
91,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,23.473 s,18.108,2.493,8.699,28.435,0.761,2.076,4.565,0.000,0.000,19.564,186.219,1319.489,39.627,1525.272,4.212,3.779,0.890
101,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,26.053 s,22.489,2.720,8.877,28.280,0.761,2.076,4.565,19443.195,0.000,21.346,190.022,1312.301,39.877,1523.669,4.201,3.751,1.046
111,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,28.638 s,24.268,2.516,8.718,28.307,0.761,2.076,4.565,1404.635,0.000,19.747,186.619,1313.580,39.541,1519.946,4.210,3.774,0.979
121,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,31.214 s,18.201,1.822,9.238,28.153,0.761,2.076,4.565,10448.158,0.000,14.295,197.751,1306.404,39.212,1518.450,4.205,3.802,0.924
131,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,36.826 s,22.400,2.709,9.046,28.067,0.761,2.076,4.565,0.000,0.000,21.261,193.642,1302.403,39.822,1517.305,4.194,3.741,1.102
141,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,36.858 s,27.763,2.480,8.181,27.202,0.761,2.076,4.565,15133.626,0.000,19.459,175.134,1262.291,37.863,1456.884,4.215,3.778,1.088
151,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,38.956 s,23.903,5.006,10.957,22.026,0.761,2.076,4.565,0.000,0.000,39.284,234.560,1022.108,37.989,1295.952,3.999,3.346,0.823
161,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,41.539 s,7.960,10.070,15.713,13.560,0.761,2.076,4.565,259954.252,0.000,79.028,336.365,629.246,39.343,1044.638,3.476,2.597,0.883
171,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,44.123 s,0.427,11.598,16.272,11.945,0.761,2.076,4.565,0.000,0.000,91.022,348.342,554.281,39.815,993.645,3.344,2.440,1.110
181,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,46.701 s,2.095,11.545,16.811,11.794,0.761,2.076,4.565,1828.604,0.000,90.601,359.877,547.290,40.150,997.767,3.322,2.429,0.906
191,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,49.282 s,3.119,11.695,16.408,12.280,0.761,2.076,4.565,4519.753,0.000,91.779,351.239,569.836,40.383,1012.853,3.357,2.452,1.039
201,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,51.861 s,3.910,11.326,16.194,12.753,0.761,2.076,4.565,45.977,0.000,88.882,346.653,591.794,40.272,1027.329,3.396,2.494,0.990
211,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,54.442 s,7.058,11.030,16.347,12.918,0.761,2.076,4.565,5685.872,0.000,86.565,349.942,599.469,40.296,1035.976,3.406,2.514,1.069
221,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,57.028 s,2.074,10.843,16.068,13.114,0.761,2.076,4.565,14319.240,0.000,85.097,343.974,608.537,40.026,1037.608,3.428,2.535,1.147
231,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,59.608 s,5.525,10.511,15.881,13.306,0.761,2.076,4.565,0.000,0.000,82.486,339.967,617.457,39.698,1039.910,3.450,2.562,0.952
241,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,62.188 s,6.395,10.237,15.758,13.609,0.761,2.076,4.565,0.000,0.000,80.341,337.325,631.524,39.604,1049.190,3.473,2.591,1.051
251,G-Ca-FLITS-18-02_004,HyD X 4,Overall Decay,64.768 s,14.188,10.312,15.783,13.837,0.761,2.076,4.565,0.000,0.000,80.928,337.854,642.103,39.932,1060.885,3.482,2.599,0.993
